ID	TISSUE	ANATOMY	TYPE	AGE
E059	Penis_Foreskin_Melanocyte_Primary_Cells_skin01	SKIN	PrimaryCulture	Fetal
E061	Penis_Foreskin_Melanocyte_Primary_Cells_skin03	SKIN	PrimaryCulture	Fetal
E062	Peripheral_Blood_Mononuclear_Primary_Cells	BLOOD	PrimaryCell	Adult
E063	Adipose_Nuclei	FAT	PrimaryTissue	Adult
E065	Aorta	VASCULAR	PrimaryTissue	Adult
E066	Adult_Liver	LIVER	PrimaryTissue	Adult
E067	Brain_Angular_Gyrus	BRAIN	PrimaryTissue	Adult
E068	Brain_Anterior_Caudate	BRAIN	PrimaryTissue	Adult
E069	Brain_Cingulate_Gyrus	BRAIN	PrimaryTissue	Adult
E070	Brain_Germinal_Matrix	BRAIN	PrimaryTissue	Fetal
E071	Brain_Hippocampus_Middle	BRAIN	PrimaryTissue	Adult
E072	Brain_Inferior_Temporal_Lobe	BRAIN	PrimaryTissue	Adult
E073	Brain_Mid_Frontal_Lobe	BRAIN	PrimaryTissue	Adult
E074	Brain_Substantia_Nigra	BRAIN	PrimaryTissue	Adult
E075	Colonic_Mucosa	GI_COLON	PrimaryTissue	Adult
E076	Colon_Smooth_Muscle	GI_COLON	PrimaryTissue	Adult
E077	Duodenum_Mucosa	GI_DUODENUM	PrimaryTissue	Adult
E078	Duodenum_Smooth_Muscle	GI_DUODENUM	PrimaryTissue	Adult
E079	Esophagus	GI_ESOPHAGUS	PrimaryTissue	Adult
E080	Fetal_Adrenal_Gland	ADRENAL	PrimaryTissue	Fetal
E081	Fetal_Brain_Male	BRAIN	PrimaryTissue	Fetal
E082	Fetal_Brain_Female	BRAIN	PrimaryTissue	Fetal
E083	Fetal_Heart	HEART	PrimaryTissue	Fetal
E084	Fetal_Intestine_Large	GI_INTESTINE	PrimaryTissue	Fetal
E085	Fetal_Intestine_Small	GI_INTESTINE	PrimaryTissue	Fetal
E086	Fetal_Kidney	KIDNEY	PrimaryTissue	Fetal
E087	Pancreatic_Islets	PANCREAS	PrimaryTissue	Adult
E088	Fetal_Lung	LUNG	PrimaryTissue	Fetal
E089	Fetal_Muscle_Trunk	MUSCLE	PrimaryTissue	Fetal
E090	Fetal_Muscle_Leg	MUSCLE_LEG	PrimaryTissue	Fetal
E091	Fetal_Placenta	PLACENTA	PrimaryTissue	Fetal
E092	Fetal_Stomach	GI_STOMACH	PrimaryTissue	Fetal
E093	Fetal_Thymus	THYMUS	PrimaryTissue	Fetal
E094	Gastric	GI_STOMACH	PrimaryTissue	Adult
E095	Left_Ventricle	HEART	PrimaryTissue	Adult
E096	Lung	LUNG	PrimaryTissue	Adult
E097	Ovary	OVARY	PrimaryTissue	Adult
E098	Pancreas	PANCREAS	PrimaryTissue	Adult
E099	Placenta_Amnion	PLACENTA	PrimaryTissue	Fetal
E100	Psoas_Muscle	MUSCLE	PrimaryTissue	Adult
E101	Rectal_Mucosa.Donor_29	GI_RECTUM	PrimaryTissue	Adult
E102	Rectal_Mucosa.Donor_31	GI_RECTUM	PrimaryTissue	Adult
E103	Rectal_Smooth_Muscle	GI_RECTUM	PrimaryTissue	Adult
E104	Right_Atrium	HEART	PrimaryTissue	Adult
E105	Right_Ventricle	HEART	PrimaryTissue	Adult
E106	Sigmoid_Colon	GI_COLON	PrimaryTissue	Adult
E107	Skeletal_Muscle_Male	MUSCLE	PrimaryTissue	Adult
E108	Skeletal_Muscle_Female	MUSCLE	PrimaryTissue	Adult
E109	Small_Intestine	GI_INTESTINE	PrimaryTissue	Adult
E110	Stomach_Mucosa	GI_STOMACH	PrimaryTissue	Adult
E111	Stomach_Smooth_Muscle	GI_STOMACH	PrimaryTissue	Adult
E112	Thymus	THYMUS	PrimaryTissue	Adult
E113	Spleen	SPLEEN	PrimaryTissue	Adult
E114	A549_EtOH_0.02pct_Lung_Carcinoma	LUNG	CellLine	NA
E115	Dnd41_TCell_Leukemia	BLOOD	CellLine	NA
E116	GM12878_Lymphoblastoid	BLOOD	PrimaryCulture	NA
E117	HeLa-S3_Cervical_Carcinoma	CERVIX	CellLine	NA
E118	HepG2_Hepatocellular_Carcinoma	LIVER	CellLine	NA
E119	HMEC_Mammary_Epithelial	BREAST	PrimaryCulture	NA
E120	HSMM_Skeletal_Muscle_Myoblasts	MUSCLE	PrimaryCulture	NA
E121	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	MUSCLE	PrimaryCulture	NA
E122	HUVEC_Umbilical_Vein_Endothelial_Cells	VASCULAR	PrimaryCulture	NA
E123	K562_Leukemia	BLOOD	PrimaryCulture	NA
E124	Monocytes-CD14+_RO01746	BLOOD	PrimaryCell	NA
E125	NH-A_Astrocytes	BRAIN	PrimaryCulture	NA
E126	NHDF-Ad_Adult_Dermal_Fibroblasts	SKIN	PrimaryCulture	NA
E127	NHEK-Epidermal_Keratinocytes	SKIN	PrimaryCulture	NA
E128	NHLF_Lung_Fibroblasts	LUNG	PrimaryCulture	NA
E129	Osteoblasts	BONE	PrimaryCulture	NA
